Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolate,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,specimen_id,SRA Study,lat_lon,system type,subtype,strain
SRR10013078,AMPLICON,302,435092608,PRJNA561158,SAMN12610163,Viral,175914989,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2015-03-13,public,"run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",Influenza,SRX6751198,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,50420,nasal/throat swab,MH10445_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:46:00Z,3,MH10445,MH10445,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013079,AMPLICON,302,442394666,PRJNA561158,SAMN12610168,Viral,173551996,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2015-03-27,public,"sra,run.zq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",Influenza,SRX6751197,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,50425,nasal/throat swab,MH10536_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:32:00Z,3,MH10536,MH10536,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013080,AMPLICON,302,223590230,PRJNA561158,SAMN12610165,Viral,91385657,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2015-03-17,public,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Influenza,SRX6751196,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,50504,nasal/throat swab,MH10454_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:46:00Z,3,MH10454,MH10454,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013081,AMPLICON,302,402706430,PRJNA561158,SAMN12610167,Viral,124906184,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2015-03-26,public,"run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",Influenza,SRX6751195,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,50585,nasal/throat swab,MH10529_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:01:00Z,3,MH10529,MH10529,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013082,AMPLICON,302,330086302,PRJNA561158,SAMN12610216,Viral,134098248,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2015-02-16,public,"sra,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",Influenza,SRX6751194,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,50763,nasal/throat swab,MH9995_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:33:00Z,3,MH9995,MH9995,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013083,AMPLICON,302,405319032,PRJNA561158,SAMN12610166,Viral,153392755,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2015-03-20,public,"run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",Influenza,SRX6751193,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,51091,nasal/throat swab,MH10499_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:32:00Z,3,MH10499,MH10499,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013084,AMPLICON,302,398992434,PRJNA561158,SAMN12610155,Viral,154234385,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2015-02-18,public,"sra,run.zq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",Influenza,SRX6751192,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,51092,nasal/throat swab,MH10076_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:32:00Z,3,MH10076,MH10076,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013085,AMPLICON,302,364029894,PRJNA561158,SAMN12610157,Viral,20225133,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2015-02-25,public,"run.zq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",Influenza,SRX6751191,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,51093,nasal/throat swab,MH10265_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:32:00Z,3,MH10265,MH10265,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013086,AMPLICON,302,472885492,PRJNA561158,SAMN12610162,Viral,190649174,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2015-03-10,public,"sra,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",Influenza,SRX6751190,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,51294,nasal/throat swab,MH10420_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:01:00Z,3,MH10420,MH10420,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013087,AMPLICON,302,248343056,PRJNA561158,SAMN12616734,Viral,109221803,UNIVERSITY OF MICHIGAN - LAURING LAB,not applicable,not applicable,public,"sra,run.zq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",not applicable,SRX6751189,uncalculated,uncalculated,not applicable,not applicable,NextSeq 500,not applicable,not applicable,YAM_plasmid_control2run1,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:45:00Z,3,YAM_plasmid_control2run1,YAM_plasmid_control2run1,SRP219100,,in vivo human,IBV,B/Victoria/504/2000
SRR10013088,AMPLICON,302,367412596,PRJNA561158,SAMN12610175,Viral,78050696,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2016-02-24,public,"sra,run.zq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",Influenza,SRX6751188,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,50062,nasal/throat swab,MH12549_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:46:00Z,3,MH12549,MH12549,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013089,AMPLICON,302,479267356,PRJNA561158,SAMN12610173,Viral,169628806,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2015-06-11,public,"run.zq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",Influenza,SRX6751187,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,50312,nasal/throat swab,MH10735_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:01:00Z,3,MH10735,MH10735,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013090,AMPLICON,302,389333266,PRJNA561158,SAMN12610178,Viral,87423386,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2016-05-17,public,"run.zq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",Influenza,SRX6751186,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,51122,nasal/throat swab,MH13516_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:06:00Z,3,MH13516,MH13516,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013091,AMPLICON,302,377235448,PRJNA561158,SAMN12610177,Viral,147278174,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2016-03-21,public,"sra,run.zq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",Influenza,SRX6751185,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,51390,nasal/throat swab,MH13079_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:46:00Z,3,MH13079,MH13079,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013092,AMPLICON,302,332778632,PRJNA561158,SAMN12610183,Viral,109373216,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2017-03-17,public,"sra,run.zq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",Influenza,SRX6751184,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,50207,nasal/throat swab,MH15919_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:32:00Z,3,MH15919,MH15919,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013093,AMPLICON,302,363667796,PRJNA561158,SAMN12610182,Viral,137134509,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2017-03-03,public,"sra,run.zq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",Influenza,SRX6751183,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,50442,nasal/throat swab,MH15663_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:46:00Z,3,MH15663,MH15663,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013094,AMPLICON,302,341120174,PRJNA561158,SAMN12610187,Viral,105315091,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2017-03-28,public,"sra,run.zq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",Influenza,SRX6751182,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,50650,nasal/throat swab,MH16167_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:46:00Z,3,MH16167,MH16167,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013095,AMPLICON,302,302221366,PRJNA561158,SAMN12610188,Viral,58313195,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2017-04-03,public,"run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",Influenza,SRX6751181,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,50775,nasal/throat swab,MH16276_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:46:00Z,3,MH16276,MH16276,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013096,AMPLICON,302,408831594,PRJNA561158,SAMN12610189,Viral,159417279,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2017-04-04,public,"run.zq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",Influenza,SRX6751180,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,50981,nasal/throat swab,MH16279_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:46:00Z,3,MH16279,MH16279,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013097,AMPLICON,302,370623460,PRJNA561158,SAMN12610184,Viral,98848761,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2017-03-23,public,"run.zq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",Influenza,SRX6751179,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,51045,nasal/throat swab,MH16055_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:32:00Z,3,MH16055,MH16055,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013098,AMPLICON,302,227120308,PRJNA561158,SAMN12616733,Viral,98921177,UNIVERSITY OF MICHIGAN - LAURING LAB,not applicable,not applicable,public,"sra,run.zq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",not applicable,SRX6751178,uncalculated,uncalculated,not applicable,not applicable,NextSeq 500,not applicable,not applicable,YAM_plasmid_control1run1,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:32:00Z,3,YAM_plasmid_control1run1,YAM_plasmid_control1run1,SRP219100,,in vivo human,IBV,B/Victoria/504/2000
SRR10013099,AMPLICON,302,364237670,PRJNA561158,SAMN12610191,Viral,146833908,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2017-04-11,public,"sra,run.zq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",Influenza,SRX6751177,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,51234,nasal/throat swab,MH16411_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:01:00Z,2,MH16411,MH16411,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013100,AMPLICON,302,266920586,PRJNA561158,SAMN12610192,Viral,101058011,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2017-04-11,public,"run.zq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",Influenza,SRX6751176,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,51239,nasal/throat swab,MH16412_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:46:00Z,3,MH16412,MH16412,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013101,AMPLICON,302,429324710,PRJNA561158,SAMN12610179,Viral,173085731,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2016-12-14,public,"sra,run.zq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",Influenza,SRX6751175,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,51292,nasal/throat swab,MH14026_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:01:00Z,3,MH14026,MH14026,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013102,AMPLICON,302,445108740,PRJNA561158,SAMN12610185,Viral,172909898,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2017-03-23,public,"sra,run.zq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",Influenza,SRX6751174,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,51457,nasal/throat swab,MH16060_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:46:00Z,3,MH16060,MH16060,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013103,AMPLICON,302,357265094,PRJNA561158,SAMN12610111,Viral,49265452,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2015-02-24,public,"sra,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",Influenza,SRX6751173,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,51093,nasal/throat swab,HS1747_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:46:00Z,3,HS1747,HS1747,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013104,AMPLICON,302,389397894,PRJNA561158,SAMN12610114,Viral,131898194,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2015-03-17,public,"sra,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",Influenza,SRX6751172,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,51432,nasal/throat swab,HS1820_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:46:00Z,3,HS1820,HS1820,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013105,AMPLICON,302,385495148,PRJNA561158,SAMN12610117,Viral,156833241,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2015-03-18,public,"run.zq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",Influenza,SRX6751171,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,50385,nasal/throat swab,HS1848_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:46:00Z,3,HS1848,HS1848,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013106,AMPLICON,302,395969112,PRJNA561158,SAMN12610118,Viral,11946534,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2015-03-25,public,"run.zq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",Influenza,SRX6751170,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,50585,nasal/throat swab,HS1867_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:46:00Z,3,HS1867,HS1867,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013107,AMPLICON,302,484844088,PRJNA561158,SAMN12610119,Viral,194606258,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2015-03-25,public,"run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",Influenza,SRX6751169,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,50425,nasal/throat swab,HS1875_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:33:00Z,3,HS1875,HS1875,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013108,AMPLICON,302,373379814,PRJNA561158,SAMN12610120,Viral,62264998,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2015-03-25,public,"sra,run.zq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",Influenza,SRX6751168,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,50424,nasal/throat swab,HS1876_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:32:00Z,3,HS1876,HS1876,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013109,AMPLICON,302,286501360,PRJNA561158,SAMN12616732,Viral,124269627,UNIVERSITY OF MICHIGAN - LAURING LAB,not applicable,not applicable,public,"run.zq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",not applicable,SRX6751167,uncalculated,uncalculated,not applicable,not applicable,NextSeq 500,not applicable,not applicable,VIC_plasmid_control2run1,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:46:00Z,3,VIC_plasmid_control2run1,VIC_plasmid_control2run1,SRP219100,,in vivo human,IBV,B/Victoria/504/2000
SRR10013110,AMPLICON,302,264791184,PRJNA561158,SAMN12616731,Viral,115662205,UNIVERSITY OF MICHIGAN - LAURING LAB,not applicable,not applicable,public,"sra,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",not applicable,SRX6751166,uncalculated,uncalculated,not applicable,not applicable,NextSeq 500,not applicable,not applicable,VIC_plasmid_control1run1,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:46:00Z,3,VIC_plasmid_control1run1,VIC_plasmid_control1run1,SRP219100,,in vivo human,IBV,B/Victoria/504/2000
SRR10013170,AMPLICON,302,533755102,PRJNA561158,SAMN12610111,Viral,84379357,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2015-02-24,public,"sra,run.zq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",Influenza,SRX6751415,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,51093,nasal/throat swab,HS1747_A,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:46:00Z,3,HS1747,HS1747,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013171,AMPLICON,302,231983414,PRJNA561158,SAMN12610185,Viral,96821927,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2017-03-23,public,"run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",Influenza,SRX6751414,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,51457,nasal/throat swab,MH16060_A,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:32:00Z,3,MH16060,MH16060,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013172,AMPLICON,302,324364610,PRJNA561158,SAMN12610179,Viral,140349978,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2016-12-14,public,"run.zq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",Influenza,SRX6751413,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,51292,nasal/throat swab,MH14026_A,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:46:00Z,3,MH14026,MH14026,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013173,AMPLICON,302,222255692,PRJNA561158,SAMN12610192,Viral,86921132,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2017-04-11,public,"run.zq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",Influenza,SRX6751412,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,51239,nasal/throat swab,MH16412_A,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:46:00Z,3,MH16412,MH16412,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013174,AMPLICON,302,279075784,PRJNA561158,SAMN12610191,Viral,109507265,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2017-04-11,public,"sra,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",Influenza,SRX6751411,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,51234,nasal/throat swab,MH16411_A,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:46:00Z,3,MH16411,MH16411,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013175,AMPLICON,302,529843900,PRJNA561158,SAMN12610184,Viral,150896351,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2017-03-23,public,"run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",Influenza,SRX6751410,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,51045,nasal/throat swab,MH16055_A,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:46:00Z,3,MH16055,MH16055,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013176,AMPLICON,302,353453854,PRJNA561158,SAMN12610189,Viral,142787583,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2017-04-04,public,"sra,run.zq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",Influenza,SRX6751409,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,50981,nasal/throat swab,MH16279_A,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:46:00Z,3,MH16279,MH16279,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013177,AMPLICON,302,426639930,PRJNA561158,SAMN12610188,Viral,75803290,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2017-04-03,public,"run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",Influenza,SRX6751408,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,50775,nasal/throat swab,MH16276_A,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:33:00Z,3,MH16276,MH16276,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013178,AMPLICON,302,242293090,PRJNA561158,SAMN12610187,Viral,79554014,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2017-03-28,public,"sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",Influenza,SRX6751407,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,50650,nasal/throat swab,MH16167_A,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:46:00Z,3,MH16167,MH16167,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013179,AMPLICON,302,309611608,PRJNA561158,SAMN12610182,Viral,119200636,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2017-03-03,public,"run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",Influenza,SRX6751406,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,50442,nasal/throat swab,MH15663_A,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:46:00Z,3,MH15663,MH15663,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
